id,lon_start,lat_start,lon_end,lat_end,frequency
0,10.787486,52.425573,10.789399,52.425545,2.467032
1,10.782998,52.42837,10.782749,52.429717,2.479129
2,10.78304,52.427197,10.782998,52.42837,2.621957
3,10.787429,52.428333,10.788107,52.429337,1.844388
4,10.789507,52.428332,10.787429,52.428333,1.937538
5,10.784069,52.428358,10.784171,52.42899,0.298491
6,10.784171,52.42899,10.785707,52.429088,-0.046481
7,10.785702,52.428342,10.785707,52.429088,0.52013
8,10.785707,52.429088,10.788107,52.429337,0.401
9,10.797052,52.42896,10.798507,52.429081,0.818782
10,10.798507,52.429081,10.798538,52.429529,0.72735
11,10.798538,52.429529,10.799785,52.429615,0.57679
12,10.799785,52.429615,10.799744,52.430461,0.703315
13,10.793379,52.428818,10.795616,52.4288,0.541359
14,10.795616,52.4288,10.797052,52.42896,0.80754
15,10.793147,52.427061,10.793229,52.428288,1.229237
16,10.793229,52.428288,10.793434,52.428273,2.33314
17,10.799744,52.430461,10.800303,52.430482,1.441677
18,10.789704,52.427769,10.789507,52.428332,1.770671
19,10.790216,52.426823,10.790364,52.427063,1.745507
20,10.790364,52.427063,10.789704,52.427769,1.738928
21,10.789704,52.427769,10.789199,52.427669,0.737254
22,10.789774,52.426822,10.790216,52.426823,1.074368
23,10.790216,52.426823,10.791209,52.426664,1.771793
24,10.76053,52.387253,10.761585,52.387619,0.626442
25,10.75997,52.388041,10.76053,52.387253,1.39677
26,10.748298,52.397059,10.746727,52.39705,0.491296
27,10.855943,52.417896,10.855461,52.41801,1.977003
28,10.851273,52.419566,10.8527,52.41897,1.990064
29,10.8527,52.41897,10.854126,52.418375,1.984164
30,10.854126,52.418375,10.855461,52.41801,1.980173
31,10.799612,52.427981,10.799865,52.427943,2.069783
32,10.808921,52.445924,10.809528,52.445025,0.975138
33,10.809378,52.446368,10.808921,52.445924,0.730463
34,10.808921,52.445924,10.808402,52.445809,0.612913
35,10.867181,52.470129,10.868963,52.471339,1.120223
36,10.868963,52.471339,10.87005,52.472153,1.055466
37,10.87005,52.472153,10.871136,52.472968,0.981283
38,10.871136,52.472968,10.871592,52.47414,0.879123
39,10.871592,52.47414,10.872048,52.475313,0.763535
40,10.860787,52.464198,10.861316,52.465135,1.018115
41,10.861316,52.465135,10.861845,52.466072,0.94775
42,10.859261,52.464508,10.860787,52.464198,0.575566
43,10.860787,52.464198,10.860202,52.463174,1.072731
44,10.860202,52.463174,10.859617,52.462151,1.137505
45,10.859617,52.462151,10.857796,52.462264,1.83369
46,10.857796,52.462264,10.855974,52.462378,1.836257
47,10.86366,52.467693,10.86542,52.468911,1.229917
48,10.86542,52.468911,10.867181,52.470129,1.178042
49,10.86366,52.467693,10.861904,52.46699,1.276764
50,10.858116,52.463777,10.859261,52.464508,1.228143
51,10.859261,52.464508,10.860721,52.465424,1.127946
52,10.860721,52.465424,10.861308,52.466127,1.062251
