id,lon_start,lat_start,lon_end,lat_end,frequency
0,10.787486,52.425573,10.789399,52.425545,1.524225
1,10.782998,52.42837,10.782874,52.429044,1.474404
2,10.782874,52.429044,10.782749,52.429717,1.496911
3,10.78304,52.427197,10.782998,52.42837,1.437946
4,10.787429,52.428333,10.788107,52.429337,1.552812
5,10.789507,52.428332,10.787429,52.428333,0.728919
6,10.784069,52.428358,10.784171,52.42899,0.266951
7,10.784171,52.42899,10.785707,52.429088,0.415681
8,10.785702,52.428342,10.785707,52.429088,0.243037
9,10.785707,52.429088,10.786907,52.429212,0.75137
10,10.786907,52.429212,10.788107,52.429337,0.859978
11,10.797052,52.42896,10.798507,52.429081,0.633919
12,10.798507,52.429081,10.798538,52.429529,0.414201
13,10.798538,52.429529,10.799785,52.429615,0.063336
14,10.799785,52.429615,10.799744,52.430461,0.489763
15,10.793379,52.428818,10.794498,52.428809,0.348308
16,10.794498,52.428809,10.795616,52.4288,0.652381
17,10.795616,52.4288,10.797052,52.42896,0.81914
18,10.793147,52.427061,10.793229,52.428288,1.266732
19,10.793229,52.428288,10.793434,52.428273,1.820657
20,10.799744,52.430461,10.800303,52.430482,0.880357
21,10.789704,52.427769,10.789507,52.428332,1.146701
22,10.790216,52.426823,10.790364,52.427063,1.088314
23,10.790364,52.427063,10.789704,52.427769,1.030331
24,10.789704,52.427769,10.789199,52.427669,0.836033
25,10.789774,52.426822,10.790216,52.426823,1.206976
26,10.790216,52.426823,10.791209,52.426664,0.806419
27,10.76053,52.387253,10.761585,52.387619,0.615343
28,10.75997,52.388041,10.76053,52.387253,1.221136
29,10.748298,52.397059,10.746727,52.39705,0.662812
30,10.855943,52.417896,10.855461,52.41801,0.652201
31,10.851273,52.419566,10.8527,52.41897,0.743578
32,10.8527,52.41897,10.854126,52.418375,0.632904
33,10.854126,52.418375,10.855461,52.41801,0.601854
34,10.799612,52.427981,10.799865,52.427943,1.16865
35,10.808921,52.445924,10.809528,52.445025,0.731505
36,10.809378,52.446368,10.808921,52.445924,0.497554
37,10.808921,52.445924,10.808402,52.445809,0.603007
